id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1528066065778999296,1528061513721847810,2022-05-21 17:31:54 UTC,2022-05-21,17:31:54,+0000,829577236734951424,kadobamosesug,KADOBA MOSES AMOOTI~THE LAST MU'CHWEZI,,"@AaronKaviiri Well, it's not like we've a choice when they still contribute a huge chunk to our countries ' budgets, fund our essential services including education, military and health (donated Covid-19 vaccines), huge loans and grants! Worst of it, our leaders making home hell for us to stay",en,[],[],[],0,0,0,[],[],https://twitter.com/kadobamosesUG/status/1528066065778999296,False,,0,,,,,,,,"[{'screen_name': 'AaronKaviiri', 'name': '🅰️aron.A.Kaviiri Ateenyi', 'id': '1031043218773659648'}]",,,,
1528063690825531392,1528043291622744064,2022-05-21 17:22:28 UTC,2022-05-21,17:22:28,+0000,213590844,bradlars24,Lars Bars,,@jonlevyBU The fact that u have to defend yourself speaks volumes about the lack of education and understanding of Covid by many North Americans! In #bcpoli @bcndp #fireBonnie have gaslite and misinformed the masses so poorly people r still do diligently washing hands without masking,en,"[{'screen_name': 'bcndp', 'name': 'bc ndp', 'id': '16690722'}]",[],[],0,0,1,"['bcpoli', 'firebonnie']",[],https://twitter.com/BradLars24/status/1528063690825531392,False,,0,,,,,,,,"[{'screen_name': 'jonlevyBU', 'name': 'Jon Levy', 'id': '3702400223'}]",,,,
1528059963901353984,1528016462576746496,2022-05-21 17:07:40 UTC,2022-05-21,17:07:40,+0000,226796671,notalkay,Al Kay,,"@StevenDelDuca @OntLiberal Ok, I own 0 guns, and I'm somewhat proud of that, but you're wasting time on a problem that doesn't exist. I want a government concerned about healthcare, education, disability, covid, climate change, and affordability, not whatever the news is freaking out about this week.",en,[],[],[],0,0,2,[],[],https://twitter.com/notalkay/status/1528059963901353984,False,,0,,,,,,,,"[{'screen_name': 'StevenDelDuca', 'name': 'Steven Del Duca', 'id': '92759522'}, {'screen_name': 'OntLiberal', 'name': ""Ontario Liberal Party | Parti Libéral de l'Ontario"", 'id': '130516054'}]",,,,
1528056285643649030,1528050839625015298,2022-05-21 16:53:03 UTC,2022-05-21,16:53:03,+0000,27353843,chicago21222,Get THEE Shot,,"@MicheleWojnar @DemocraticDaisy The pro death cult, pro covid,pro rape party, and party of anti democracy, anti gun regs, anti woman, anti healthcare, anti education and anti common sense. The anti kid party. Anti everything good party.",en,[],[],[],0,0,0,[],[],https://twitter.com/chicago21222/status/1528056285643649030,False,,0,,,,,,,,"[{'screen_name': 'MicheleWojnar', 'name': 'Old Lady', 'id': '2324752154'}, {'screen_name': 'DemocraticDaisy', 'name': 'Britt Nessie', 'id': '1444378380267229185'}]",,,,
1528054474337849345,1528054413830799365,2022-05-21 16:45:51 UTC,2022-05-21,16:45:51,+0000,36884131,mubeenmasudi,Mubeen Masudi,,Covid related lockdowns in 2020 added to our woes. But unlike most of the world we were not new to lockdowns. We kind of became experts in dealing with them.  We leveraged our deep and unique understanding of education to solve for challenges beyond Kashmir.   14/n,en,[],[],[],1,0,3,[],[],https://twitter.com/MubeenMasudi/status/1528054474337849345,False,,0,,,,,,,,[],,,,
1528046826900795393,1528046826900795393,2022-05-21 16:15:27 UTC,2022-05-21,16:15:27,+0000,1240133028363599873,sapphirology,Sapphira 🍁🧡,,"Antivax idiots now think monkey pox is really shingles that people get from the COVID vaccine. One piece of ""evidence"" they have is an article about shingles and another about monkey pox using the same stock photo. How has the education system failed these people so colossally?!",en,[],[],[],0,0,1,[],[],https://twitter.com/Sapphirology/status/1528046826900795393,False,,0,,,,,,,,[],,,,
1528046591642595329,1528046586642812928,2022-05-21 16:14:31 UTC,2022-05-21,16:14:31,+0000,1324614736017793024,kawumasharon,Sharon Kawuma,,"We appeared on the second draft of our Education college at Muk but we are told  by the VC we can't be put in the book,WHY? We waited for four years and through COVID. # justice for  university students",en,[],[],[],0,5,3,[],[],https://twitter.com/KawumaSharon/status/1528046591642595329,False,,0,,,,,,,,[],,,,
1528045616361705472,1527424928659542017,2022-05-21 16:10:39 UTC,2022-05-21,16:10:39,+0000,65566588,barblarochelle,Barbara Larochelle,,"It came sharply into focus when not ONE of them spoke out against abandoning covid protections, the disastrous curriculum, vilifying teachers, privatizing healthcare &amp; education, stealing pensions, cutting AISH benefits, coal mining in the mountains and so much more. Not one.",en,[],[],[],0,1,20,[],[],https://twitter.com/BarbLarochelle/status/1528045616361705472,False,,0,,,,,,,,[],,,,
1528043011082539010,1528043011082539010,2022-05-21 16:00:18 UTC,2022-05-21,16:00:18,+0000,1176169614,csdaeducation,CSDA Education,,"Congratulations to Dr. MaryKate Conboy for receiving the Rising Star Award! On top of her leadership as a committee member of the CSDA Ad Hoc COVID-19 Task Force, she currently serves on the Council of Legislation and is doing her part to help dentists thrive in their practice.  https://t.co/4Jhx71A0cg",en,[],[],['https://pbs.twimg.com/media/FTSzBStWQAMZLk2.jpg'],0,0,0,[],[],https://twitter.com/CSDAEducation/status/1528043011082539010,False,,1,https://pbs.twimg.com/media/FTSzBStWQAMZLk2.jpg,,,,,,,[],,,,
1528042974164271104,1528042974164271104,2022-05-21 16:00:09 UTC,2022-05-21,16:00:09,+0000,65698096,splcenter,Southern Poverty Law Center,,Today marks the one-year anniversary of the COVID-19 Hate Crimes Act. The SPLC and other orgs are leading the fight against AAPI hate in legislative advocacy and addressing anti-APPI hate and stereotypes through education.   Read more in the Weekend Read:   https://t.co/5Rld76UbhG  https://t.co/zfY5yfWMsk,en,[],['https://www.splcenter.org/news/2022/05/20/one-year-later-covid-19-hate-crimes-act-promising-work-progress'],['https://pbs.twimg.com/media/FTSy-wcWQAAG2dF.jpg'],0,5,15,[],[],https://twitter.com/splcenter/status/1528042974164271104,False,,1,https://pbs.twimg.com/media/FTSy-wcWQAAG2dF.jpg,,,,,,,[],,,,
